proto,state,service,dur,sbytes,dbytes,spkts,dpkts,sload,dload,sttl,dttl,smean,dmean,sinpkt,label
tcp,FIN,http,3.333544,18786,1087890,352,746,44956.35938,2607272.0,31,29,53,1458,9.496399,0
tcp,FIN,http,1.024447,1684,10168,14,18,12213.41895,74998.51563,31,29,120,565,78.774692,0
tcp,FIN,ftp-data,0.007676,424,8824,8,12,386659.7188,8430433.0,31,29,53,735,1.05,0
tcp,FIN,-,0.039168,2542,23508,40,42,506331.6875,4687295.5,31,29,64,560,1.022289,0
tcp,FIN,smtp,0.02137,37210,3380,52,42,13662144.0,1235376.75,31,29,716,80,0.411961,0
tcp,FIN,-,0.016917,2958,33044,48,50,1369982.875,15314300.0,31,29,62,661,0.360609,0
tcp,FIN,-,0.931387,608,646,10,10,4706.958496,4998.996094,254,252,61,65,103.487444,0
udp,INT,-,7e-06,104,0,2,0,59428572.0,0.0,254,0,52,0,0.007,1
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
unas,INT,-,3e-06,200,0,2,0,266666656.0,0.0,254,0,100,0,0.003,1
tcp,FIN,-,0.476596,1716,354,10,8,25933.91406,5203.568848,254,252,172,44,51.562778,0
udp,CON,-,0.004518,568,312,4,4,754316.0625,414342.625,31,29,142,78,1.212667,0
dgp,INT,-,4e-06,200,0,2,0,200000000.0,0.0,254,0,100,0,0.004,1
udp,CON,-,0.004514,568,312,4,4,754984.5,414709.8125,31,29,142,78,1.241,0
tcp,FIN,smtp,0.248959,37210,3380,52,42,1172723.25,106041.5547,31,29,716,80,4.87451,0
udp,CON,dns,0.001182,130,162,2,2,439932.3125,548223.3125,31,29,65,81,0.006,0
tcp,FIN,-,5.838218,13142,548216,228,438,17930.12891,749495.8125,31,29,58,1252,25.717656,0
tcp,FIN,-,0.375752,4194,268,12,6,81862.50781,4769.103027,254,252,350,45,34.063728,0
tcp,FIN,-,0.00561,2054,2478,22,24,2796435.0,3386809.25,31,29,93,103,0.249714,0
tcp,FIN,-,0.494638,504,268,10,6,7342.743652,3622.851562,254,252,50,45,52.080222,0
tcp,FIN,ftp,0.036125,2934,3742,52,54,637342.5625,813397.9375,31,29,56,69,0.702373,0
tcp,FIN,ftp-data,0.047496,424,8824,8,12,62489.47656,1362472.625,31,29,53,735,6.683143,0
udp,CON,dns,0.001014,146,178,2,2,575936.875,702169.625,31,29,73,89,0.007,0
tcp,FIN,-,0.118257,2054,2478,22,24,132660.2188,160667.0156,31,29,93,103,5.614286,0
tcp,FIN,smtp,0.021373,37372,3276,52,40,13719740.0,1195901.375,31,29,719,82,0.42066,0
tcp,FIN,-,0.716476,514,268,10,6,5169.747559,2501.130371,254,252,51,45,79.498778,0
udp,INT,dns,5e-06,114,0,2,0,91200000.0,0.0,254,0,57,0,0.005,1
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.656,0
tcp,FIN,-,0.456063,528,354,10,8,8349.723633,5437.845215,254,252,53,44,50.673667,0
tcp,FIN,-,0.458704,574,268,10,6,9016.708008,3906.658691,254,252,57,45,50.967111,0
tcp,FIN,-,0.015541,2438,19266,38,40,1222057.75,9669905.0,31,29,64,482,0.410027,0
tcp,FIN,ftp-data,0.531387,8928,320,14,6,124820.5234,4019.669434,31,29,638,53,40.875924,0
udp,INT,dns,6e-06,114,0,2,0,76000000.0,0.0,254,0,57,0,0.006,1
tcp,FIN,ftp,0.036188,2934,3742,52,54,636233.0,811981.875,31,29,56,69,0.703549,0
tcp,CON,-,0.156171,986,86,6,2,42107.69141,2202.713867,62,252,164,43,31.2342,0
udp,CON,dns,0.001112,146,178,2,2,525179.875,640287.8125,31,29,73,89,0.008,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,REQ,-,5e-06,90,0,2,0,72000000.0,0.0,254,0,45,0,0.005,0
udp,CON,dns,0.001041,130,162,2,2,499519.6875,622478.375,31,29,65,81,0.001,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,0.0,0
udp,CON,dns,0.000992,130,162,2,2,524193.5625,653225.8125,31,29,65,81,0.009,0
tcp,FIN,http,3.863027,2952,474560,60,370,6011.865723,980118.4375,62,252,49,1283,65.475031,1
tcp,FIN,http,0.422347,800,1064,10,8,13638.07422,17634.78711,62,252,80,133,6710.4128,1
udp,INT,-,2e-06,1064,0,2,0,2128000000.0,0.0,254,0,532,0,0.002,0
tcp,CON,-,1.028767,978,86,6,2,6337.684082,334.380859,62,252,163,43,205.7534,0
udp,INT,dns,1e-05,114,0,2,0,45600000.0,0.0,254,0,57,0,0.01,1
unas,INT,-,7e-06,200,0,2,0,114285712.0,0.0,254,0,100,0,0.007,1
tcp,FIN,http,1.158813,1684,10168,14,18,10797.25586,66302.32813,31,29,120,565,89.112538,0
udp,INT,snmp,9e-06,472,0,2,0,209777776.0,0.0,254,0,236,0,0.009,1
tcp,FIN,ssh,0.012841,12472,12716,70,60,7659216.5,7790670.5,31,29,178,212,0.194561,0
tcp,FIN,-,0.562611,534,268,10,6,6839.539551,3185.149414,254,252,53,45,58.684222,0
udp,CON,dns,0.001078,146,178,2,2,541744.0,660482.4375,31,29,73,89,0.01,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
udp,INT,dns,5e-06,114,0,2,0,91200000.0,0.0,254,0,57,0,0.005,1
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,-,0.032676,7810,15494,122,126,1896437.75,3763496.25,31,29,64,123,0.269174,0
udp,CON,-,0.004837,568,320,4,4,704569.0,396940.2813,31,29,142,80,1.235667,0
tcp,FIN,-,0.0054,1958,2308,22,24,2768888.75,3277037.0,31,29,89,96,0.253,0
tcp,FIN,http,0.227257,852,1362,10,8,27000.26953,41961.30469,62,252,85,170,25.250778,1
udp,INT,-,2e-06,104,0,2,0,208000000.0,0.0,254,0,52,0,0.002,0
udp,CON,dns,0.001067,146,178,2,2,547329.0,667291.5,31,29,73,89,0.003,0
tcp,FIN,-,0.139003,2054,2478,22,24,112860.875,136687.7031,31,29,93,103,6.603095,0
tcp,FIN,-,0.47417,756,354,10,8,11489.54981,5230.191895,254,252,76,44,51.15,1
tcp,FIN,http,1.0898,1580,10168,12,18,10636.81445,70501.00781,31,29,132,565,98.965911,0
udp,CON,-,0.001747,520,304,4,4,1785918.625,1044075.563,31,29,130,76,0.440333,0
tcp,FIN,-,0.387331,4656,3080,28,30,92737.21875,61508.11328,31,29,166,103,14.333037,0
tcp,FIN,-,1.371432,1102,29006,20,36,6107.484863,164505.4219,62,252,55,806,72.180628,1
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,ssh,0.433752,3728,5474,32,24,66618.71094,96755.75,31,29,117,228,13.992,0
tcp,FIN,-,0.015887,2974,30506,48,50,1466859.75,15054321.0,31,29,62,610,0.331383,0
unas,INT,-,4e-06,200,0,2,0,200000000.0,0.0,254,0,100,0,0.004,1
udp,INT,dns,7e-06,114,0,2,0,65142856.0,0.0,254,0,57,0,0.007,1
tcp,FIN,-,0.060047,4862,75600,84,86,640165.1875,9955002.0,31,29,58,879,0.718711,0
tcp,FIN,-,0.354057,7858,268,14,6,164877.4063,5061.331543,254,252,561,45,27.163077,0
tcp,FIN,smtp,0.024612,37268,3380,52,42,11881034.0,1072647.5,31,29,717,80,0.48432,0
tcp,FIN,-,1.179752,586,268,10,6,3580.413574,1518.963257,254,252,59,45,130.965889,0
udp,INT,dns,3e-06,114,0,2,0,152000000.0,0.0,254,0,57,0,0.003,1
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.744,0
tcp,FIN,ssh,0.00828,3728,5474,32,24,3489855.25,5068599.0,31,29,117,228,0.267097,0
tcp,FIN,-,1.454371,10030,354,16,8,51728.20313,1705.20459,254,252,627,44,5555.481874,1
udp,INT,-,8e-06,104,0,2,0,52000000.0,0.0,254,0,52,0,0.008,0
tcp,FIN,http,1.004858,1580,10168,12,18,11535.95801,76460.55469,31,29,132,565,91.319817,0
tcp,FIN,-,0.259745,4408,2768,24,24,130127.625,81710.90625,31,29,184,115,11.279957,0
tcp,FIN,-,2.05604,3806,51808,64,66,14579.48242,198533.0938,31,29,59,785,33.156727,0
tcp,FIN,http,1.021511,1580,10168,12,18,11347.89551,75214.07031,31,29,132,565,92.833817,0
tcp,FIN,-,0.03968,4326,63966,74,72,860483.875,12717339.0,31,29,58,888,0.538384,0
tcp,FIN,-,0.027426,1540,1644,16,18,421206.1563,453000.7813,31,29,96,91,1.935143,0
tcp,FIN,ftp-data,0.223467,8928,320,14,6,296813.375,9558.458008,31,29,638,53,17.189769,0
udp,CON,dns,0.000974,146,178,2,2,599589.3125,731006.125,31,29,73,89,0.009,0
tcp,FIN,smtp,2.614331,33345,1894,42,26,99610.95313,5575.422363,62,252,794,73,63.764173,1
udp,INT,dns,7e-06,114,0,2,0,65142856.0,0.0,254,0,57,0,0.007,1
udp,CON,dns,0.001005,130,162,2,2,517412.9375,644776.125,31,29,65,81,0.008,0
tcp,FIN,-,1.279164,1006,6950,18,20,5947.634766,41295.72266,62,252,56,348,75.244941,1
udp,CON,dns,0.001102,146,178,2,2,529945.5625,646098.0,31,29,73,89,0.008,0
tcp,REQ,-,4.593286,270,0,6,0,391.876312,0.0,254,0,45,0,918.657187,0
udp,INT,-,8e-06,78,0,2,0,39000000.0,0.0,254,0,39,0,0.008,0
udp,INT,dns,3e-06,114,0,2,0,152000000.0,0.0,254,0,57,0,0.003,1
tcp,FIN,-,0.38009,534,268,10,6,10123.91797,4714.672852,254,252,53,45,39.162889,1
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
idrp,INT,-,4e-06,200,0,2,0,200000000.0,0.0,254,0,100,0,0.004,1
udp,CON,-,0.185214,168,112,2,2,3628.235596,2418.82373,254,60,84,56,0.006,1
tcp,FIN,-,0.023904,2958,33044,48,50,969544.875,10838019.0,31,29,62,661,0.512674,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.592,0
tcp,FIN,-,0.440229,566,268,10,6,9267.90332,4070.608643,254,252,57,45,46.235556,1
tcp,FIN,-,0.372113,4194,268,12,6,82663.0625,4815.741699,254,252,350,45,33.828455,1
tcp,FIN,http,0.230783,2148,1934,10,8,67041.33594,58687.16406,254,252,215,242,25.551444,1
udp,INT,dns,4e-06,114,0,2,0,114000000.0,0.0,254,0,57,0,0.004,1
tcp,FIN,-,0.005913,3936,2456,18,18,5030272.0,3138846.5,31,29,219,136,0.327353,0
udp,CON,dns,0.00104,130,162,2,2,500000.0,623076.9375,31,29,65,81,0.009,0
udp,INT,dns,6e-06,114,0,2,0,76000000.0,0.0,254,0,57,0,0.006,1
udp,INT,-,8e-06,78,0,2,0,39000000.0,0.0,254,0,39,0,0.008,0
udp,CON,dns,0.001033,146,178,2,2,565343.6875,689254.625,31,29,73,89,0.008,0
tcp,FIN,http,1.018895,1684,10168,14,18,12279.96973,75407.17969,31,29,120,565,78.350695,0
tcp,FIN,-,0.109836,4238,63516,72,74,304453.9063,4563749.5,31,29,59,858,1.587362,0
tcp,FIN,-,0.004756,3960,2456,18,18,6291001.0,3902439.0,31,29,220,136,0.261353,0
tcp,FIN,-,0.047896,5174,83812,90,92,854685.125,13846834.0,31,29,57,911,0.540727,0
tcp,FIN,-,0.0167,2542,23404,40,40,1187545.0,10931258.0,31,29,64,585,0.419821,0
udp,INT,dns,3e-06,114,0,2,0,152000000.0,0.0,254,0,57,0,0.003,1
udp,INT,dns,5e-06,114,0,2,0,91200000.0,0.0,254,0,57,0,0.005,1
tcp,FIN,-,0.016787,2958,32642,48,50,1380592.125,15245130.0,31,29,62,653,0.350404,0
tcp,FIN,http,1.079213,1684,10168,14,18,11593.63281,71192.61719,31,29,120,565,82.985998,0
udp,INT,dns,1.3e-05,114,0,2,0,35076924.0,0.0,254,0,57,0,0.013,1
udp,REQ,dns,58.721588,7560,0,30,0,995.613403,0.0,254,0,252,0,2064.637625,1
prm,INT,-,3e-06,200,0,2,0,266666656.0,0.0,254,0,100,0,0.003,1
udp,CON,dns,0.001028,146,178,2,2,568093.375,692607.0,31,29,73,89,0.008,0
tcp,FIN,-,0.004068,1064,2260,12,12,1919370.75,4074729.75,31,29,89,188,0.337818,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,-,0.046684,2542,19266,40,40,424813.625,3219090.0,31,29,64,482,1.188564,0
udp,CON,-,0.001725,536,304,4,4,1864347.875,1057391.375,31,29,134,76,0.447,0
tcp,FIN,http,1.411096,830,1266,10,10,4235.005859,6463.061523,62,252,83,127,156.788444,1
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
udp,CON,dns,0.001118,146,178,2,2,522361.3438,636851.5,31,29,73,89,0.01,0
tcp,FIN,-,0.370038,588,268,10,6,11458.28223,4842.745605,254,252,59,45,37.076778,0
tcp,FIN,smtp,0.033745,37914,3380,54,42,8821930.0,782338.1875,31,29,702,80,0.642404,0
unas,INT,-,7e-06,200,0,2,0,114285712.0,0.0,254,0,100,0,0.007,1
tcp,FIN,ftp-data,0.004116,528,8824,10,12,925170.0625,15722060.0,31,29,53,735,0.417111,0
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
udp,CON,-,0.001674,520,304,4,4,1863799.25,1089605.75,31,29,130,76,0.442,0
tcp,RST,-,0.134823,258,86,6,2,12757.46777,2551.493652,254,60,43,43,26.9646,0
unas,INT,-,4e-06,200,0,2,0,200000000.0,0.0,254,0,100,0,0.004,1
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.752,0
tcp,FIN,ssh,0.006027,3728,5474,32,24,4794425.0,6963331.5,31,29,117,228,0.2009,0
udp,CON,dns,0.000974,146,178,2,2,599589.3125,731006.125,31,29,73,89,0.004,0
tcp,FIN,-,0.018247,1540,1644,16,18,633090.3125,680879.0,31,29,96,91,1.195933,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,-,0.454297,3926,57474,66,68,68096.42188,997215.4375,31,29,59,845,7.093297,0
tcp,FIN,-,0.746506,820,268,10,6,7908.844727,2400.516602,254,252,82,45,82.839889,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,-,0.150536,5174,83812,90,92,271934.9375,4405644.0,31,29,57,911,1.726724,0
tcp,FIN,http,1.34,1684,10168,14,18,9337.313477,57337.3125,31,29,120,565,103.048541,0
tcp,FIN,smtp,1.275339,224531,2760,188,44,1400957.75,16924.12695,254,252,1194,63,6.819995,1
udp,CON,-,0.005365,568,320,4,4,635228.3125,357875.125,31,29,142,80,1.211,0
tcp,FIN,-,0.308716,1540,1644,16,18,37419.50391,40244.10938,31,29,96,91,20.561666,0
tcp,FIN,-,0.943796,774,642,14,12,6094.537598,4992.604492,254,252,55,54,72.527692,0
udp,CON,-,0.01115,568,304,4,4,305650.2188,163587.4531,31,29,142,76,3.2,0
udp,CON,dns,0.001025,146,178,2,2,569756.125,694634.125,31,29,73,89,0.009,0
udp,INT,dns,3e-06,114,0,2,0,152000000.0,0.0,254,0,57,0,0.003,1
vines,INT,-,5e-06,200,0,2,0,160000000.0,0.0,254,0,100,0,0.005,1
tcp,FIN,-,0.004305,1470,1728,22,14,2609059.25,2982578.5,31,29,67,123,0.21525,0
udp,INT,-,1e-05,1984,0,2,0,793600000.0,0.0,254,0,992,0,0.01,1
tcp,FIN,-,0.677166,564,354,10,8,6001.48291,3662.322266,254,252,56,44,74.307667,1
udp,CON,dns,0.001101,146,178,2,2,530426.875,646684.8125,31,29,73,89,0.009,0
tcp,FIN,-,0.847085,2516,268,10,6,21391.00586,2115.490234,254,252,252,45,103.56575,0
tcp,FIN,ftp,0.986364,1092,1632,20,22,8418.798828,12636.30859,62,252,55,74,51.913896,1
tcp,FIN,http,1.350962,508,354,10,8,2712.141357,1835.728882,254,252,51,44,145.548,0
udp,INT,-,9e-06,168,0,2,0,74666664.0,0.0,254,0,84,0,0.009,1
udp,CON,dns,0.001067,130,162,2,2,487347.7188,607310.25,31,29,65,81,0.009,0
mtp,INT,-,4e-06,200,0,2,0,200000000.0,0.0,254,0,100,0,0.004,1
tcp,FIN,smtp,0.049991,37492,3380,52,42,5884419.0,528095.0625,31,29,721,80,0.99278,0
tcp,FIN,ftp-data,0.046396,320,1838,6,8,46038.45313,277437.7188,31,29,53,230,9.2124,0
tcp,FIN,http,1.118742,1580,10168,12,18,10361.63867,68677.14063,31,29,132,565,101.670455,0
tcp,FIN,-,0.689609,598,268,10,6,6252.818848,2598.573975,254,252,60,45,73.018,0
tcp,FIN,-,0.018426,1540,1644,16,18,626940.25,674264.625,31,29,96,91,1.206667,0
tcp,FIN,ssh,0.239948,9400,12298,106,114,310467.25,406454.7188,31,29,89,108,2.372663,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,-,1.124569,976,354,10,8,6253.062012,2205.289307,254,252,98,44,120.514,0
udp,INT,-,5e-06,168,0,2,0,134400000.0,0.0,254,0,84,0,0.005,1
tcp,FIN,http,0.246351,854,268,10,6,24972.49805,7274.173828,254,252,85,45,24.702111,1
tcp,FIN,-,1.050801,7814,16912,122,126,59002.60547,127734.9297,31,29,64,134,8.753942,0
tcp,FIN,-,0.010959,2438,19266,38,40,1733004.75,13712930.0,31,29,64,482,0.295944,0
tcp,FIN,smtp,0.027014,37230,3380,52,42,10813652.0,977271.0625,31,29,716,80,0.5334,0
tcp,FIN,-,1.305183,68023,612,60,14,409996.125,3487.633301,254,252,1134,44,20.620118,0
tcp,FIN,-,0.022124,1540,1644,16,18,522147.9063,561562.125,31,29,96,91,1.452467,0
tcp,FIN,-,1.619336,1090,19226,20,30,5118.146973,91820.35156,62,252,55,641,85.228209,1
udp,CON,-,0.004311,568,312,4,4,790535.8125,434238.0,31,29,142,78,1.144333,0
tcp,FIN,-,0.004758,4096,2456,18,18,6505254.5,3900798.75,31,29,228,136,0.261647,0
tcp,REQ,-,8e-06,90,0,2,0,45000000.0,0.0,254,0,45,0,0.008,0
tcp,FIN,http,1.00901,1580,10168,12,18,11488.48926,76145.92969,31,29,132,565,91.695635,0
tcp,FIN,-,0.096076,2958,33044,48,50,241225.7031,2696532.0,31,29,62,661,2.078978,0
tcp,FIN,-,0.847152,484,268,10,6,4117.324707,2115.322998,254,252,48,45,84.843222,0
udp,CON,dns,0.000999,146,178,2,2,584584.5625,712712.6875,31,29,73,89,0.008,0
tcp,FIN,-,0.754369,588,354,10,8,5620.591309,3287.515625,254,252,59,44,75.681444,0
tcp,FIN,ftp,0.470951,632,682,12,12,9852.405273,10633.80273,254,252,53,57,42.813727,1
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.688,0
tcp,FIN,-,0.037005,4238,63618,72,74,903661.6875,13567680.0,31,29,59,860,0.51662,0
udp,CON,dns,0.001096,146,178,2,2,532846.75,649635.0625,31,29,73,89,0.009,0
tcp,FIN,ftp-data,0.29347,320,1910,6,8,7278.427246,45578.76563,31,29,53,239,58.6308,0
udp,INT,dns,3e-06,114,0,2,0,152000000.0,0.0,254,0,57,0,0.003,1
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
udp,CON,dns,0.001002,130,162,2,2,518962.0938,646706.625,31,29,65,81,0.009,0
udp,INT,-,3e-06,168,0,2,0,224000000.0,0.0,254,0,84,0,0.003,1
tcp,FIN,-,0.011841,2230,13500,34,36,1462714.25,8867494.0,31,29,66,375,0.360031,0
tcp,FIN,-,0.495314,998,806,12,10,14778.50391,11725.89551,254,252,83,81,44.404999,1
tcp,FIN,-,0.629523,756,268,10,6,8654.171875,2846.599854,254,252,76,45,65.896556,0
udp,CON,-,0.035113,520,304,4,4,88855.98438,51946.57422,31,29,130,76,6.667333,0
tcp,FIN,-,0.991044,2516,268,10,6,18283.75,1808.194214,254,252,252,45,108.299778,0
tcp,FIN,smtp,0.241747,37268,3380,52,42,1209595.125,109205.0781,31,29,717,80,4.733529,0
udp,CON,-,0.123357,568,320,4,4,27627.13086,15564.58106,31,29,142,80,35.683668,0
tcp,FIN,ftp-data,0.358195,8928,320,14,6,185172.875,5963.232422,31,29,638,53,27.553461,0
idpr,INT,-,3e-06,200,0,2,0,266666656.0,0.0,254,0,100,0,0.003,1
tcp,FIN,-,0.831135,564,354,10,8,4889.699219,2983.871582,254,252,56,44,89.658333,1
tcp,FIN,-,0.422691,486,268,10,6,8289.744141,4239.503906,254,252,49,45,45.202667,0
udp,CON,dns,0.000918,146,178,2,2,636165.5625,775599.125,31,29,73,89,0.004,0
udp,INT,dns,2.6e-05,114,0,2,0,17538462.0,0.0,254,0,57,0,0.026,1
tcp,FIN,ftp-data,0.126853,528,8824,10,12,30018.99805,510133.75,31,29,53,735,14.054889,0
ospf,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
tcp,FIN,http,1.01096,1684,10168,14,18,12376.35547,75999.05469,31,29,120,565,77.739923,0
tcp,FIN,dns,0.510173,514,7936,10,12,7260.281738,114078.9453,62,252,51,661,56.562222,1
tcp,FIN,http,1.034941,1580,10168,12,18,11200.63867,74238.05469,31,29,132,565,94.054271,0
tcp,FIN,-,0.0381,2054,2478,22,24,411758.5313,498687.6563,31,29,93,103,1.985842,0
tcp,FIN,-,1.298638,1090,736,12,8,6160.300293,3967.233398,254,252,91,92,117.079001,1
udp,INT,dns,3.3e-05,114,0,2,0,13818182.0,0.0,254,0,57,0,0.033,1
tcp,FIN,ftp,0.844589,2934,3742,52,54,27260.59766,34790.88672,31,29,56,69,16.554373,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,http,1.070087,1580,10168,12,18,10832.76465,71799.77344,31,29,132,565,97.247818,0
tcp,FIN,-,0.043706,3926,57474,66,68,707820.4375,10365442.0,31,29,59,845,0.677953,0
udp,CON,-,0.001719,520,304,4,4,1815008.625,1061082.0,31,29,130,76,0.445667,0
tcp,FIN,ftp-data,0.046451,320,1826,6,8,45983.94141,275214.75,31,29,53,228,9.228,0
tcp,FIN,-,0.005378,2054,2478,22,24,2917069.5,3532912.0,31,29,93,103,0.25115,0
udp,CON,-,0.004391,568,320,4,4,776133.0,437258.0,31,29,142,80,1.115,0
tcp,FIN,ftp-data,0.35926,320,1838,6,8,5945.554688,35829.20703,31,29,53,230,71.7896,0
udp,CON,-,0.001714,536,304,4,4,1876312.75,1064177.375,31,29,134,76,0.452667,0
tcp,FIN,-,0.021011,2958,32642,48,50,1103041.25,12180286.0,31,29,62,653,0.453111,0
tcp,FIN,http,1.005613,1580,10168,12,18,11527.29785,76403.14844,31,29,132,565,91.38773,0
tcp,FIN,-,0.015918,1540,1644,16,18,725719.3125,780500.0625,31,29,96,91,1.0398,0
udp,CON,dns,0.001065,146,178,2,2,548356.8125,668544.625,31,29,73,89,0.01,0
tcp,FIN,-,0.012917,1540,1644,16,18,894325.3125,961833.25,31,29,96,91,0.839867,0
tcp,FIN,-,0.023386,1540,1644,16,18,493970.75,531258.0,31,29,96,91,1.538333,0
udp,CON,-,0.001688,528,304,4,4,1876777.25,1080568.75,31,29,132,76,0.443667,0
arp,INT,-,59.991383,46,0,1,0,0.0,0.0,0,0,46,0,60000.544,0
arp,INT,-,59.99136,92,0,2,0,6.134217,0.0,0,0,46,0,59991.36,0
udp,INT,dns,4e-06,114,0,2,0,114000000.0,0.0,254,0,57,0,0.004,1
tcp,FIN,smtp,0.385752,37938,3484,54,44,772226.75,70615.32031,31,29,703,79,7.557019,0
udp,CON,-,0.155079,520,304,4,4,20118.77734,11761.74707,31,29,130,76,46.685,0
tcp,FIN,http,1.094764,1580,10168,12,18,10588.58398,70181.33594,31,29,132,565,99.492183,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,0.0,0
tcp,FIN,-,1.248865,34210,440,34,10,212698.7344,2536.703369,254,252,1006,44,34.487151,0
tcp,FIN,-,0.078009,1540,1644,16,18,148085.4688,159263.6719,31,29,96,91,5.179733,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.604,0
tcp,FIN,-,0.080573,4238,63516,72,74,415027.375,6221240.5,31,29,59,858,1.130408,0
tcp,FIN,http,1.006053,1580,10168,12,18,11522.25586,76369.73438,31,29,132,565,91.428,0
tcp,FIN,-,2.910877,2302,34406,30,42,6117.744141,92307.57813,31,29,77,819,100.363928,0
tcp,FIN,ftp-data,0.002805,320,1826,6,8,761497.3125,4557576.0,31,29,53,228,0.4986,0
tcp,FIN,ftp-data,0.103458,320,1838,6,8,20646.05859,124417.6328,31,29,53,230,20.6238,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.692,0
tcp,FIN,-,0.068341,5174,83812,90,92,598996.1875,9704394.0,31,29,57,911,0.7725,0
tcp,FIN,ftp-data,0.224419,424,8824,8,12,13225.26172,288353.5,31,29,53,735,32.012287,0
tcp,FIN,http,0.61001,802,1320,10,8,9468.697266,15147.29199,62,252,80,165,67.778889,1
tcp,FIN,ftp,6.939788,1280,1640,24,22,1414.452515,1805.242554,62,252,53,75,301.729921,1
udp,CON,dns,0.000943,130,162,2,2,551431.5625,687168.625,31,29,65,81,0.001,0
tcp,FIN,-,0.860558,1526,268,10,6,12773.1084,2082.369873,254,252,153,45,92.142667,1
udp,CON,dns,0.000972,130,162,2,2,534979.4375,666666.6875,31,29,65,81,0.009,0
tcp,FIN,-,14.318269,25992,1094788,464,858,14491.1377,610975.0,31,29,56,1276,30.924213,0
tcp,FIN,-,0.503936,490,354,10,8,7000.88916,4921.259766,254,252,49,44,55.889444,0
tcp,FIN,-,0.023426,1540,1644,16,18,493127.2813,530350.875,31,29,96,91,1.5362,0
tcp,FIN,-,2.165272,2516,268,10,6,8368.463867,827.60968,254,252,252,45,237.291556,0
tcp,FIN,-,0.111908,3614,50036,60,62,254065.8281,3519247.75,31,29,60,807,1.924052,0
tcp,FIN,-,0.006026,1470,1936,22,18,1863923.125,2428144.75,31,29,67,108,0.286952,0
swipe,INT,-,4.7e-05,60,0,1,0,0.0,0.0,0,0,60,0,0.0,1
tcp,FIN,-,1.292455,2530,354,10,8,14094.1084,1918.828979,254,252,253,44,143.505889,0
tcp,FIN,-,0.786584,514,268,10,6,4708.969238,2278.205566,254,252,51,45,87.398222,0
tcp,FIN,http,2.327163,2488,83332,24,66,8198.824219,282128.9375,62,252,104,1263,101.181003,1
tcp,FIN,http,0.004112,1058,822,8,10,1801556.375,1439688.625,31,29,132,82,0.538429,0
tcp,REQ,-,3e-06,90,0,2,0,119999992.0,0.0,254,0,45,0,0.003,0
tcp,FIN,-,0.63505,994,728,12,8,11488.85938,8024.564941,254,252,83,91,54.645545,0
udp,INT,dns,5e-06,114,0,2,0,91200000.0,0.0,254,0,57,0,0.005,1
tcp,FIN,-,0.086648,5174,83812,90,92,472440.2188,7654048.5,31,29,57,911,0.969888,0
udp,CON,dns,0.000971,146,178,2,2,601441.8125,733264.6875,31,29,73,89,0.007,0
tcp,FIN,-,0.118809,4014,59460,68,70,266309.7813,3946569.75,31,29,59,849,1.795394,0
udp,CON,dns,0.000969,132,164,2,2,544891.625,676986.625,31,29,66,82,0.001,0
udp,INT,-,5e-06,104,0,2,0,83200000.0,0.0,254,0,52,0,0.005,0
